img,date,location,city,state,species,clicked_by,scientific_name,sub_species,species_name,sub_sub_family,sub_family,latitude,longitude
6-4.jpg,12-08-19,"Palakkad, Kerala",Palakkad,Kerala,Skipper,Balachandran Puliyampotta,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,10.7867,76.6548
6-5.jpg,01-09-19,"Gonikopalu,Karnataka.",Bangalore,Karnataka,Grizzled Skipper,Gopakumar VR Namboothiri,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,12.1843,75.9263
6-6.jpg,16-06-19,"Ramdevara Bette,Bangalore,Karnataka.",Bangalore,Karnataka,African Marbled Skipper,Gopakumar VR Namboothiri,Gomalia Elma,Elma,Gomalia,Carcharodini,Pyrginae,12.7532,77.3014
6-7.jpg,29-07-19,"Ratnagiri, Maharashtra, India.",Ratnagiri,Maharashtra,Indian Grizzled skipper,Netra Palkar-Apte,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,16.9902,73.312
6-8.jpg,11-10-18,"Reshi, Sikkim",,Sikkim,"Grizzled Skipper,",Krishna Nath Pandit,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,27.1818,88.6507
6-9.jpg,26-08-19,Gujrat,,Gujarat,Rice skipper,Vanraj Odedra,Pelopidas P. Mathias,Mathias,Pelopidas,Baorini,Hesperiinae,22.2587,71.1924
6-10.jpg,19-05-19,"Sindhudurg, Maharashtra",Sindhudurg,Maharashtra,Indian Grizzled skipper,Mangal Rane,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,16.3492,73.5594
6-11.jpg,18-06-19,"Palakkad, Kerala",Palakkad,Kerala,Spialia Galba / Indian Skipper,"Rajib Dey, Avinash Sant",Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,10.7867,76.6548
6-12.jpg,12-11-19,"Tungareshwar WLS, Palghar District, Maharashtra.",Palghar,Maharashtra,Banana Skipper(Erionota Torus),Gaurav Tanvi Tushar Khule,Erionota Torus,Torus,Erionota,Aeromachini,Hesperiinae,19.40331,72.95787
6-13.jpg,24-06-19,"Palakkad, Kerala",Palakkad,Kerala,Indian grizzled skipper,Vasudeesha Hosabettu,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,10.7867,76.6548
6-14.jpg,08-12-19,"Harinavi, West Bengal",Harinavi,WestBengal,Erionota Torus – Rounded Palm-redeye or Banana Skipper,Sarpita Bose,Erionota Torus,Torus,Erionota,Aeromachini,Hesperiinae,22.4125,88.4186
grizz.jpg,01-07-19,bangalore,Bangalore,Karnataka,Skipper butterfly,Joyashree Saha Biswas,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,12.9716,77.5946
6-15.jpg,15-08-19,"Palakkad, Kerala",Palakkad,Kerala,Skipper,Balachandran Puliyampotta,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,10.7867,76.6548
6-16.jpg,04-01-19,"Dapoli, Maharashtra",Dapoli,Maharashtra,Spialia Galba Galba – Indian Grizzled Skipper,Paresh Churi,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,17.7677,73.191
6-17.jpg,31-05-19,Jammu,Jammu ,Jammu&Kashmir,Indian Skipper (Spialia Galba),Shelly Jain,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,32.7266,74.857
6-18.jpg,26-05-19,"Nagaon, Assam",Nagaon,Assam,"Common Bush Hopper, Male,  Ampittia dioscorides (Fabricius, 1793)",Mann Kumar Thapa,Ampittia dioscorides,dioscorides,Ampittia,Aeromachini,Hesperiinae,26.348,92.6838
6-19.jpg,13-11-19,"Amboli, Maharashtra",Amboli,Maharashtra,Rounded Palm-redeye,Hemant Ogale,Erionota Torus,Torus,Erionota,Aeromachini,Hesperiinae,15.9647,74.0036
6-20.jpg,03-12-19,Devrukh Maharashtra,Devrukh,Maharashtra,Rounded palm-redeye or banana skipper (Erionota Torus),Prateik More,Erionota Torus,Torus,Erionota,Aeromachini,Hesperiinae,17.0686,73.6242
bns.jpg,21-12-19,"Vagamon, Kerala",Vagamon,Kerala,skipper,Nayan,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,9.6862,76.9052
6-21.jpg,17-10-19,"Ahmednagar, Maharashtra",,Maharashtra,"Gomalia Elma (Trimen, 1862) – African Marbled Skipper",Pradeep Jaiswal,Gomalia Elma,Elma,Gomalia,Carcharodini,Pyrginae,19.0948,74.748
6-22.jpg,16-01-19,"Lohegaon, Pune",Pune,Maharashtra,Borbo cinnara,B Savit,Borbo cinnara,cinnara,Borbo,Baorini,Hesperiinae,18.5945,73.9276
6-23.jpg,07-11-19,"Khar West, Mumbai",Mumbai,Maharashtra,Skipper,Raghavendra Rajadhyaksha,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,19.07,72.8338
6-24.jpg,28-09-19,"Gonikopalu, Karnataka",Gonikopalu,Karnataka,Grizzled Skipper,Gopakumar VR Namboothiri,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,12.1843,75.9263
6-25.jpg,14-07-19,Bengaluru,Bangalore,Karnataka,Indian Grizzled Skipper,Nagraj Veeraswami,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,12.9716,77.5946
6-26.jpg,07-07-19,Bengaluru,Bangalore,Karnataka,Asian Grizzled Skipper,Nagraj Veeraswami,Gomalia Elma albofasciata,Elma,Gomalia,Carcharodini,Pyrginae,12.9716,77.5946
6-27.jpg,28-07-19,"JP Forest, Banglore, KA",Bangalore,Karnataka,Indian Grizzled Skipper,VC Balakrishnan,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,12.9716,77.5946
6-28.jpg,31-03-19,"Nalabanta,Aska, Odisha",Aska,Odisha,Indian skipper butterfly,Tara Mahapatra,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,19.61159,84.664486
6-29.jpg,21-10-19,Bangalore,Bangalore,Karnataka,Banana skipper,Akhilesh Sharma,Erionota Torus,Galba,Spialia,Carcharodini,Pyrginae,12.9716,77.5946
6-30.jpg,28-09-19,"Coimbatore, Tamilnadu",Coimbatore,Tamilnadu,"African marbled skipper, Gomalia Elma",Hari,Gomalia Elma,Elma,Gomalia,Carcharodini,Pyrginae,11.0168,76.9558
6-31.jpg,28-10-19,,,Tamilnadu,Common red-eye skipper,Sayantam Jana,Matapa aria,aria,Matapa,Aeromachini,Hesperiinae,,
6-32.jpg,11-07-19,"Doresanipalya reserve forest, Bangalore",Bangalore,Karnataka,Indian Grizzled Skipper,Vikram Bellur,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,12.8918,77.592
6-33.jpg,08-07-19,"Palakkad, Kerala",Palakkad,Kerala,Skipper,Balachandran Puliyampotta,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,10.7867,76.6548
