img,date,location,species,click by,scientific name,latitude,longitude
4-3.jpg,22-06-20,"Kadma,Bankura,West Bengal",Hyarotis adrastus - Tree flitter,Aniruddha singhamahapatra,Hyarotis adrastus praba,22.9888,87.0106
4-4.jpg,13-03-20,"Dosdewa Forest Trail, Karimganj, Assam, India",Indian Skipper,Makunda Nature Club,Hesperiidae,24.3527,92.3448
4-5.jpg,06-06-20,"Makunda Christian Hospital,Karimganj, Assam, India",Silver-spotted skipper,Makunda Nature Club,Hesperia comma,24.432,92.3307
4-6.jpg,11-04-20,"Dosdewa Forest trail,Karimganj, Assam, India",Indian Skipper,Makunda Nature Club,Hesperiidae,24.3527,92.3448
4-7.jpg,17-03-20,"Dosdewa Forest Trail,Karimganj, Assam, India",Fiery Skipper,Makunda Nature Club,Hylephila phyleus,24.3527,92.3448
4-8.jpg,10-01-20,"Makunda Forest Trail,Karimganj, Assam, India",Silver-spotted skipper,Makunda Nature Club,Hesperia comma,24.3527,92.3448
4-9.jpg,03-04-20,"Dosdewa Forest Trail,Karimganj, Assam, India",Banana Skipper,Makunda Nature Club,Erionota thrax,24.3527,92.3448
5-1.jpg,01-11-18 0:00,Westbengal,Banana Skipper,Satadeep Mandal,Erionota torus,22.978624,87.747803
5-2.jpg,16.09.2018.,Bengaluru,Spialia galba,Nagraj Veeraswami,Spialia galba,12.972442,77.580643
5-3.jpg,29.07.2018,Bengaluru,Spialia galba,Nagraj Veeraswami,Spialia galba,12.972442,77.580643
5-4.jpg,24-04-18 0:00,Bengaluru,"Spialia galba Fabricius,",Nagraj Veeraswami,Spialia galba,12.972442,77.580643
5-5.jpg,24-09-18 0:00,Bengaluru,Banana Skipper,Haneesh Km,Erionota torus,12.972442,77.580643
5-6.jpg,12.6.18,Lonavla,Indian skipper,Sagar Chandane,Spialia galba,18.74806,73.407219
5-7.jpg,19-01-18 0:00,Tamil Nadu,Indian grizzled skipper,Vishvajit Kadam,Spialia galba,11.127123,78.656891
5-8.jpg,08-10-18 0:00,Karnataka,Giant Redeye - Gangara Thyrsis,Gopal Krishna Baliga,gangara thyrsis,15.317277,75.71389
5-9.jpg,16-09-18 0:00,Bengaluru,Spialia galba,Nagraj Veeraswami,Spialia galba,12.972442,77.580643
5-10.jpg,07-07-18 0:00,Andhra Pradesh,Indian Grizzled skipper,Appanna Saragada,Spialia galba,16.515099,80.632095
5-11.jpg,06-08-18 0:00,Haryana,Grizzled skipper,Ajay Kumar,Spialia galba,29.065773,76.040497
5-12.jpg,02-08-18 0:00,Kerala,Indian Skipper,Balachandran Puliyampotta,Spialia galba,10.850516,76.27108
5-13.jpg,01-09-18 0:00,Viralimalai,African Marbled Skipper,Muthu Krishnan,Gomalia elma,10.60368,78.546211
5-14.jpg,24-11-18 0:00,Goa,Indian grizzled skipper,Marvelyn Dias,Spialia galba,15.496777,73.827827
5-15.jpg,20-06-18 0:00,Andhra Pradesh,India skipper,Appanna Saragada,Spialia galba,16.515099,80.632095
5-16.jpg,05-11-18 0:00,Pune,Grizzled skipper (Spialia galba),B Savit,Spialia galba,18.516726,73.856255
5-17.jpg,02-06-18 0:00,Bengaluru,Indian skipper,Harisha Achar,Spialia galba,12.972442,77.580643
5-18.jpg,17-11-18,N.Delhi,grass-skipper,Amrik Singh Uppal,grass skipper,28.642361,77.21711
5-19.jpg,03-10-18 0:00,Viralimalai,Indian Skipper,Muthu Krishnan,Spialia galba,10.60368,78.546211
5-20.jpg,10-03-18 0:00,Bengaluru,Indian Grizzled Skipper,Nagraj Veeraswami,Spialia galba,12.972442,77.580643
5-21.jpg,01-04-18 0:00,Pondicherry,Asian Marbled Skipper - Gomalia elma,Gandhi Sankar,Gomalia elma,11.916064,79.812325
5-22.jpg,01-06-18 0:00,Maharashtra,Indian grizzled skipper,Mangal Rane,Spialia galba,19.66328,75.300293
5-23.jpg,08-04-18 0:00,Pune,Grizzled skipper,B Savit,Spialia galba,18.516726,73.856255
5-24.jpg,01-05-18 0:00,Bengaluru,Skipper on banana leaf,Akhilesh Sharma,erionota thrax,12.972442,77.580643
5-25.jpg,15-02-18 0:00,"Mettupalyam, TN",African Marbled Skipper,Nagaraj Shastri,Gomalia elma,11.289087,76.940971
5-26.jpg,26-08-18,"Amirdhi, T.N",African Marbled Skipper,Kalai Chelvan,Gomalia elma,12.8816,79.1207
5-27.jpg,30-10-18 0:00,Chandigarh,Indian Grizzled skipper,Upendra Goswami,Spialia galba,30.741482,76.768066
5-28.jpg,17-08-18 0:00,Kerala,Indian Skipper,Balachandran Puliyampotta,Spialia galba,10.850516,76.27108
5-29.jpg,22-10-18 0:00,karnataka,Asian marbled skipper,Akhilesh Sharma,Gomalia elma,15.317277,75.71389
5-30.jpg,29-08-18 0:00,Bhaderwah,Plain Marbled Skipper,Neeraj Sharma,Carcharodus alceae,32.983025,75.710983
5-31.jpg,28-03-18 0:00,Mysore,ASIAN MARBLED SKIPPER ( Gomalia elma albofasciata ),Arun Urs,Gomalia elma,12.311827,76.652985
5-32.jpg,16-11-18 0:00,Kozhikode,Skipper,Balachandran Puliyampotta,Hesperiidae,11.2588,75.7804
5-33.jpg,03-01-18 0:00,Gujarat,Indian Skipper (Spialia galba),Mayur H Variya,Spialia galba,22.309425,72.13623
5-34.jpg,30-06-18 0:00,Assam,Banana Skipper (Erionota torus),Arjun Sharma,erionota torus,26.148043,91.731377
5-35.jpg,20-09-18 0:00,Coimbatore,African Marbled Skipper,Muthu Krishnan,Gomalia elma,11.004556,76.961632
5-36.jpg,16-06-18 0:00,Palakkad,Skipper,Balachandran Puliyampotta,Hesperiidae,10.7867,76.6548
5-37.jpg,08-12-18 0:00,Assam,Matapa aria,Abhishek Dutta Choudhury,matapa aria moore,26.148043,91.731377
5-38.jpg,13-02-18 0:00,Tamilnadu,Spialia galba – Indian Grizzled Skipper,Muhammed Shaheerbabu,Spialia galba,11.059821,78.387451
5-39.jpg,10-12-18 0:00,medinipur,Brown skipper butterfly,Arnab Kumar,Hesperiidae,22.4257,87.3199
5-40.jpg,03-03-18 0:00,Kerala,Giant Red Eye Skipper,Pournami Vijayan,Gangara thyrsis,10.850516,76.27108
5-41.jpg,26-05-18 0:00,Kerala,Skipper on Nityakalyani / Sadabahar,Balachandran Puliyampotta,Hesperiidae,10.850516,76.27108
5-42.jpg,23-02-18 0:00,valanchery,Banana skipper,Naeem Pamparambil,erionota torus,10.8878,76.0732
5-43.jpg,29th July 2018,Haryana,grass skipper,Ajay Kumar,Hesperiinae,29.0588,76.0856
5-44.jpg,20-08-18 0:00,West Bengal,Grizzled Skipper Spialia galba,Rajib Maulick,Spialia galba,22.978624,87.747803
5-45.jpg,29-10-18 0:00,Maharashtra,Grizzled skipper Spialia galba,Varsha Koli,Spialia galba,19.66328,75.300293
5-46.jpg,23-02-18 0:00,Pondicherry,Indian Grizzled Skipper (Spialia galba),Gandhi Sankar,Spialia galba,11.916064,79.812325
5-47.jpg,02-09-18 0:00,Bengaluru,Indian Grizzled Skipper [Spialia galba,Nagesh Ramamurthy,Spialia galba,12.972442,77.580643
5-48.jpg,15-04-18 0:00,Bengaluru,Spialia galba,Nagraj Veeraswami,Spialia galba,12.972442,77.580643
5-49.jpg,22-06-18 0:00,Gujarat,Potanthus,Dharmesh Padhiyar,Pothantus hetaerus,22.309425,72.13623
5-50.jpg,23-05-18 0:00,Pondicherry,indian grizzled skipper,Surendiran Ryan,Spialia galba,11.916064,79.812325
5-51.jpg,24-05-18 0:00,Mangalore,Grizzled Skipper,Vasudeesha Hosabettu,Spialia galba,12.915605,74.855965
5-52.jpg,14-08-18 0:00,Madhya Pradesh,Indian Grizzled Skipper Spialia galba,Nayan Singh Dungriyal,Spialia galba,23.473324,77.947998
5-53.jpg,07-06-18 0:00,Maharashtra,Indian Grizzled Skipper,Prateik More,Spialia galba,19.66328,75.300293
5-54.jpg,15-04-18 0:00,"Jammu,J&K",Pelopidas mathia and Suastus gremius,Shakha Sharma,pelopidas mathia,32.732998,74.864273
5-55.jpg,24-01-18 0:00,Savandurga,African Marbled Skipper,Vasudeesha Hosabettu,Gomalia elma,12.9197,77.2929
5-56.jpg,14-08-18 0:00,Gujarat,Telicota,Dharmesh Padhiyar,Telicota bambusae,22.309425,72.13623
5-57.jpg,20-08-18 0:00,Kerala,Hesperiinae (Grass Skippers),Paul Pop,Hesperiinae,10.850516,76.27108
5-58.jpg,13-08-18 0:00,Kerala,Caltoris canaraica,Muhammed Shaheerbabu,Caltoris canaraica,10.850516,76.27108
5-59.jpg,22-03-18 0:00,Arunachal Pradesh,Frosted duskywing (Erynnis Pelias) Kibithoo,Balaji P Balachandran,Erynnis pelias,27.845148,95.247345
5-60.jpg,05-10-18 0:00,Mangalore,Grass demon Sammilan,Sharan Venkatesh,Udaspes folus,12.915605,74.855965
5-61.jpg,10-07-18 0:00,Kerala,Bevans swift.,Roopa Raj,Borbo bevani Moore,10.850516,76.27108
5-61.jpg,18-06-18 0:00,Maharashtra,Giant redeye Ratnagiri,Mangal Rane,Gangara thyrsis,19.66328,75.300293
123.jpg,12-03-21,Mumbai,Skipper,Saurav,Skipperrr,22.97,78.65
Onkar_Bhatlawande.jpg,09-04-21,Chandigarh,Skipper,Saurav,Skipperrr,27.03,74.3
